,Generated Text,Actual Text
942,"As you are all aware, Enron and UBS have entered into an agreement for the sale of certain assets of the wholesale gas and power trading organization
As part of that agreement, the management of UBS may speak to you over the next several days about an opportunity in that new organization",NETCO Employees at Enron
943,"Please review/comment on the attached presentation  Gary - can you and JD take ownership of this
Once we incorporate everyone's comments, we can set up a meeting with Air Products, Dow, and others to discuss",Ship Channel Hub Co
944,"Jeff, received your message for a Tues AM meeting in Sacramento",Meeting with DWR
945,"Here are the stray facts I mentioned:   Sulfur River system:  1200 miles of gathering in East Texas and some  treating/processing   approx
170 mmcf/d of throughput currently; significant growth expected  from new drilling [?]
EBITDA:  $40mm/yr    Rex Kouri (sp?)
is the founding equity in Sulfur River  (I haven't heard  of him, but they acted like I should have)     An outfit named ""Energy Spectrum"" put $30 mm in equity into Sulfur River a  few years ago and thinks now would be a good time to cash out    $90 mm in debt    $1/mmbtu gath/proc",Sulfur River
946,"I shall interview this candidate next week (a very preliminary interview) to evaluate his potential and determine if he fits Enron's culture
Do you see a need for a person with his skills in your area (litigation  support)?
Vince

",An interesting resume
947,"Jackie,  Legal is reviewing the Terms of Business document for Credit Lyonnais and Monument Derivatives
For Equities and Options, we will trade as ECT Investments, Inc",Trading Agreements with Enron
948,"Dear TurboTax Customer:  The status of your electronically filed federal tax return is now available from the IRS
You must view this status to determine whether or not the IRS has accepted your return",Important E-File Reminder from TurboTax
949,"I'm finally finished with Defensive Driving
What a complete waste of my  time!!
I passed though",I'm Safe Now
950,"""The future is something which everyone reaches at the rate  of 60 minutes an hour?whatever he does, whoever he be""
- C","""Imagine the Future"" with Mind's Eye Madness"
951,"On January 12, I hosted a brainstorming session at the Four Seasons hotel i= n=20 downtown Houston in which we assembled a number of ideas regarding mid and= =20 back office services we could offer to the commodity industry
To complete=  a=20 plan for launching this strategic commercial venture, we are hosting an=20 integrated design session facilitated by Cap Gemini Ernst & Young (CGEY) at= =20 their Accelerated Solutions Environment in Dallas, Texas","ASE on February 12-13, 2001 in Dallas, TX"
952,"We have for the last couple of weeks started to compile the Re-start/Integration Plans for Netco
So far, we have primarily focussed on the mid/back plans where the technology requirements have been the driving factors",Re-start/Integration Planning
953,"As you may be aware, Enron Corp is a member of the Official Unsecured Creditors' Committee appointed in the Pacific Gas and Electric Company bankruptcy case",PG&E BANKRUPTCY CASE-- IMPORTANT
954,"Rick, I have 65 days of vacation left I have planned to take dec 17 - dec 19 (Mon-Wed)",Holiday Schedule
955,"Hi guys, I spoke with the attorney for DRI, a producer on TCO
He said that he would convince his client not to file a motion in the bankruptcy court for amounts owed for post petition production volumes delivered to ENA,IF ENA sends him a letter by next Friday, 6/28/02, stating definitively that ENA will pay DRI for such volumes and a date certain by which the payment will be made to DRI",DRI Operating
956,"Widows 2000 migration will begin this week with the  physical hardware scan - 4/16 to 4/17
The migration techs will need to  check out the hardware on every machine we use",Win2000 Deployment
957,"Folks-  Kori asked us to kill all the deals between her portfolio and other portfolio due to the bankruptcy
For this reason, I used Casey's ID (because I did not have access) to access about 20 deals, and I killed these deals",12.14 Deals Killed per Kori Loibl
958,"Enron to cut one-fifth of jobs at broadband unit
04/06/2001 Reuters English News Service  (C) Reuters Limited 2001",Enron to cut one-fifth of jobs at broadband unit.
959,"Below is an announcement that was sent to employees within Enron Europe tod= ay=20 from Fernley Dyson and me
Most of you have probably become aware of the= =20 assignment that Brent will have over the next few months in London",Organisational Announcement.
960,"All, The problem mapping to the P:  and other drives in your Terminal Server Sessions has been resolved
To attach to this drive, please log out and back onto Terminal Server",Drive Mappings In Terminal Server
961,"Hi, Vince,  This is Slav Fain - Oracle DBA  and I hope you remember me
We've met at the infosession in Berkley and have talked about Houston, rotation program or other possible openings Enron might have",opportunities in Enron
962,"Does Mark have time in the afternoon to meet with me and Christian Yoder  (Portland - 2 hours earlier than CST)?
The topic is ""Washington State  PUD's""
I'd schedule about an hour","Schedule meeting with Mark Taylor for Thursday, June 7"
963,JCharlton@nyisocom writes to the NYISO_TECH_EXCHANGE Discussion List:  All ICAP Suppliers submitting GADS Data and/or Equivalent GADS Data should clearly distinguish GADS Data  from Equivalent GADS Data submissions,GADS Data and Equivalent GADS Data Reporting
964,"Tim and John, I wanted to touch base with you regarding a problem that we have run into between EOL and a trader having multiple trading books
EOL has been set up to have a trader associated with one and only one trading book in the stack manager",EOL - Multiple Trading Books (URGENT)
965,"How are things going?
Haven't talked to you in a while
As for me, I am  fine",HELLO!
966,"Tana,  I was thinking of you today because I just got my issue of Texas Monthly and both of your Houston employers were subjects of stories
You might be interested",Hi
967,"I had a great time working with the best option trading team in the energy industry
What I have learned from you will benefit me a lot in my future career",Good bye! from George Huan
968,"There is a problem between PGAS and TMS
The actual volumes for the 26th are not correct in TMS",Actual Volumes in TMS for October 26th
969,"What's Next for Enron Federal Credit Union  Over the years, Enron Federal Credit Union has been proud to share the Enron name and support many wonderful employees and their family members around the world
Here are some of the exciting changes slated for the Credit Union in the coming months",Credit Union Changes
970,"Jeff,   FYI, I just got this from Tom
We don't have a very big opportunity here!
Tom did tell me that his numbers were going to be difficult to get",CommodityLogic Big Numbers
971,"An adjustment is required on the Tufco contract for July 2000
The volume  for the 23rd was overstated by 5,000",Tufco July 23 and 28
972,"Completed an IT agreement with CIMA Energy, who owns 5000/day production on  the Crawford lateral
Gas will be transported to both the Willi Wick Farm  Tap in the Texas panhandle area as well as to the West Texas pool",Bullets 08/18
973,"Ken: DELIGHTED to read the several good news developments regarding Enron's success in lining up buyers for various properties
I could see your fine hand in directing the success and anticipated success",Congratulations
974,"Kim,  Attached is a draft of the Master Firm Purchase /Sale Agreement for  Turlock
I trust you will e-mail same to your customer",Turlock Irrigation District
975,"Ultraviolet high voltage traps work very well
If the problem is severe put in more than one",*EMCA* Mosquitoes
976,"Stephanie:  Hope you had a great Thanksgiving!
Please follow up with this guy
Looks like he's in London",Harvard College - ISDA
977,"Jeff,  At the conclusion of our meeting yesterday you re-iterated your interest in contributing to our efforts regarding the HTC Energy Initiative and in helping develop the forum for the symposium tentatively scheduled for late October
In response, I wanted to let you know Paul, Lloyd, Joe Avila (McKinsey) and myself will be meeting with Matt Simmons tomorrow, Thur 9/6",HTC Energy Initiative Follow-up Mtg
978,"Hi Sara:  Happy Birthday
I had a great time in New Orleans but was unable to hook up with Monty",Your Birthday
979,"Hello,  Below is invite to Forrester Research's complimentary May 2nd energy breakfast
Limited availability","Forrester Research's Online Energy Trading, free analyst breakfast,  Houston, May 2, 2001, limited availability"
980,"Have you sent our form of guaranty since we're wasting time reviewing several  different formats?
This should always be our first approach
Also, you had  best advise the company that we will not provide an unlimited guaranty  (unless you've agreed otherwise)",Transmontaigne
981,"John, I read Phil's statements concerning the Redrock air permit issue and  would like to shed some additional light concerning the reason why   Transwestern  did not know about the delay in the agencies issance of the air  permits
I had met with each agency prior to submitting each application to  ensure that each application contained the correct and proper information  required by the EPA and State of Arizona",Response to Redrock Air Permit Delay
982,"We are getting ready for the launch of ""NetcoOnline"" and have been preparing new documentation, a refreshed site design and cleaned products to reflect our Gas and Power focus
The following timetable could change, but the general sequence should apply in any case:  Week of Jan 14:  Upon approval by the new buyer of the PA and ETA formats, we will contact the Master Users at our Top 50 customers and send them copies of the final PA and ETA forms with our new buyer's name filled in",NetcoOnline Launch Plans
983,"I have rescheduled my visit to Brazil and Argentina for next week
I will  arrive in SP on Sunday, Sept 19",Brazil and Argentina: September 19 - 24
984,"Enron Principal Investments (EPI), which was formed in the 2nd quarter, has completed its integration and the development of its new strategy
This group will be responsible for identifying, closing, managing and exiting all non-E&P equity investments for Enron worldwide",Enron Principal Investments - Organizational Memo
985,"Just a reminder
Make sure you are using Pinnacle West and not APS when you are putting these deals in for this counter party",APS to Pinnacle West
986,"Dan,  Ref
is made to yr e-mail today 30th re ETA Oman","LNG/C ""HOEGH GALLEON"" - REPAIRS OFF ALGECIRAS"
987,"Jeff,  A few comments on the model:  1
We have a few reservations about some features of the model but would like  to discuss it internally and make the improvements without giving the benefit of  our insights to the consultant",Power Plant Model
988,"As you know, Enron has signed a merger agreement by which Dynegy will acquire Enron
We expect the transaction to close following shareholder and regulatory approvals and various conditions to closing",Enron/Dynegy Merger; Antitrust Issues
989,"Matt, your new responsibility for 7:30 meeting will be to go over all gen  outages in the west by region and fuel type, and to discuss the previous days  gen numbers and load forecasts
Including pricing info and heat rates from  the Portland guys and/or Megawatt Daily will also help",New 7:30 responsibility
990,"Steve: I am waiting on my credit person to get back to me
I know that he is out  for a good portion of this week but I will continue to follow up with him",ISDA Issues
991,"As discussed during our recent demonstration of our new portfolio tracking system (PortRAC), we have completed a security system that will provide a ""firewall"" controlling access to each business unit's data
Our intent is to open up the system to designated members of each business unit or others as approved by the COO or Managing Director of that group",PortRAC Security
992,"Per the attached document, Angela Lewis, a representative from The Japan Partnership, an international executive search firm, will be in the area at 5pm on Sunday, October 7th and is interested in meeting with native Japanese graduating Haas students to discuss career opportunities in Japan
If you are interested in attending this presentation, please respond back to me right away",CSO - Read only if you are a graduating native Japanese Haas  student
993,"Personal & Confidential  Marc:  Attached are revised clean and blacklined drafts of the Form 8-K and Press Release for your consideration
The blacklined versions reflect changes to your prior drafts",NewPower - Form 8-K and Press Release
994,"Congratulations on the birth of Emma
I hope that everyone is doing well",Congratulations
995,"Sorry everyone!
I've received a virus from someone else and now  your computer may be affected since you're in my address book
I'm told it  lies dormant for 14 days,  THEN IT KILLS YOUR HARD DRIVE!
NOTE: When I receive this notice, I updated my McAfee and ran a full scan, and it did not catch it",virus alert!
996,"Mr Lay-  With all that is going on, a quick note to let you know that you still have an employee who is confident something good will prevail and not all may be lost",Vote of Confidence
997,"Hey guys:  just to follow up after our discussion this morning on unfinaled  invoices, the following will be our procedures
10th day of month:  invoices sent out 1st business day after 10th:  we will get the unfinaled invoice report from  settlements and start working on clearing all discrepancies",Unfinaled invoices
998,"Last week I left taped to your chair the referenced form of confirm that Bob  Bowen needed you to sign off on
He says he never hear back",Form of EOL Confirm
999,"Transwestern's average deliveries to California were 945 MMBtu/d (87%), with San Juan lateral throughput at 865 MMBtu/d
Total East deliveries averaged 525 MMBtu/d",California Capacity Report for Week of 10/22-10/26
1000,"As you know, the FBI is currently conducting an investigation in the building
If you are contacted by the FBI, we'd advise that you contact us before speaking to them",FBI Contact
1001,"Hi Tana,  Here is a resolution for Enron Canada Corp which Peter will be looking for this morning",Resolution for Peter Keohane
1002,"Dear Sean,    I have changed 2 deals that were put in as transmission sales : deals # 894692 and 894962 to Buy Resales
Please make any adjustments necessay to your scheduling sheets, etc",changed Transmission deal
1003,"Michelle,  As I indicated in my voice mail this morning, I am working with Janice Priddy, Manager of Enron Corporate Payroll, on a significant employment tax refund project
We are in the process of quantifying potential FICA, federal unemployment and state unemployment tax refunds related to both internal and external acquisitions involving employees",Employment Tax Refund Project
1004,"Please send a credit worksheet for this company
This is an Appalachian  producer, we buy from at fixed prices","Gatherco, Inc."
1005,"Did anyone take care of Powerex cuts on Friday?
I've entered a sale to Powerex to bookout for two hours in which they cut a preschedule (deal 795777/tag 16EV) and were unable to resupply the entire 25 mw
Sale is for HE 13 - 13 mw @ $46, and HE 21 - 6 mw @ $31",EPE Cuts - 10/12
1006,"Cheryl:  Attached are Welch's comments
As you already know, Jennifer is doing the 2-month deal (but no others until  the ISDA is inked)",Welch's / Enron - Markup of schedule and paragraph 13
1007,"On the referenced list, Credit shows River Trading Company as an amended  counterparty, but I didn't have them at all so I treated them like a new  counterparty
On the 8/8/00 List, Braintree is a division, and I would like it to read:   City of Braintree, Massachusetts Electric Light Department",Counterparty Approvals for 8/7/00 and 8/8/00
1008,"Steve, apparently I'm developing an overactive imagination when it comes to  FERC decisions
In Panhandle Eastern Pipe Line Company, 74 FERC ?
61,102, reh'g denied, 75  FERC ?
61,272 (1996), and Transwestern, 90 FERC P 61,044, in which FERC  approved LFT services, the Commission accepted the pipelines' statements that  they would not sell capacity that is not available (i",PNM reply comments
1009,"Jeff McMahon has proposed that Ben Glisan is the most appropriate person to provide brief summaries to the BoD on Chewco, Whitewing and Marlin, if Ken would like these topics presented to the BoD
Both Jeff and Ben will be standing by for today's meeting in case they are needed",REVISED after discussion with J. McMahon
1010,"Mike
Generally the language is fine, but I tweaked to make sure it is  clearer",Independent Amend.
1011,"I am still trying to recruit
It seems everyone is out of town that  weekend",Golf
1012,"Here is the e-mail we received from ISDA
Since we only have $500 left and  they are suggesting $1000 for the lunch, I'm not sure it makes sense to send  someone",Lugar Fundraiser
1013,"Janette:  Please order a new IBM laptop computer for Linda Guinn as soon as possible  and charge to my RC 0630
If you have any questions, feel free to contact me  or Linda",laptop computer
1014,"We need to revise the Counterparty Matrix procedures
Counterparties with a  North American financial master agreement should only map to North American  financial products (including all weather and paper transactions)",Counterparty Matrix - Mapping Financial Master Agreements
1015,"Good Evening Committee Members:  Just to keep you apprised, we have planned for a special discussion of the second extraordinary legislative session with Dr Barbara Barkovich and Derek Naten at tomorrow's committee meeting",Updated Agenda for Tomorrow's Energy Committee Meeting
1016,"Vasant,  I had a chance to speak today with a representative from Estima, the maker of RATS
Evidently, our current license is as follows:  		Version:  RATS 4",RATS License Update
1017,"Please find attached the EEOS / NEPCO weekly project update for week ending October 12 , 2001
If you have any questions, you can call me at (713) 646-6106","EEOS / NEPCO Weekly Project Update...   W/E October 12, 2001"
1018,"I have asked Pat Radford to put the enovate Master Firm and the enovate GISB  in Attorney's Forms
Until she is able to do that, you can find these forms  as follows:  1) The Master Firm is at o/common/legal/sdickso/enovate/enovate master  firm",enovate Forms
1019,"Jeff- Hey there!
Will you please moderate a panel for me at the CESG Annual Retreat?
Below are the details
Just let me know",CESG Annual Retreat
1020,"Below is the name and phone number of the woman that I worked with to arrange  our tour of Enron  Field
She may not be the person to talk with regarding  displaying a boat, but  will very likely be able to give the correct  contact",Contact at Enron Field
1021,BUSINESS HIGHLIGHTS  Enron Global Markets Enron Global Markets is again teaming up with The Society of the Plastics Industry Inc trade association to organize its second educational seminar on risk management for the industry,EnTouch Newsletter
1022,"The above excel files are at G:Common/LNG/Hoegh Galleon
They are in a read only format for now, but can be unlocked if necessary",Hoegh Galleon Position Reports and Performance
1023,"Many of you have asked whether you should come into the office next week, especially if there is no guarantee of being paid for time worked after today
We want to encourage you to come to work",UPDATE - Reporting to Work Next Week
1024,"Paul:  Cheryl Nelson (X54693) is our new lawyer handling brokerage agreements
She  has the Trading Edge file and can review the outstanding issues wtih you",Trading Edge
1025,"At the request of Michael Bridges, I am attaching our proposed form of Letter  of Interest
If the agreement meets with your approval, please return a copy  to me via fax no",LOI for Prebon Energy
1026,"Greetings: My apologies
I was out of town over the weekend and while I thought I'd  have network access, I didn't",California Presentation
1027,"Hello Charlene,  I am forwarding you a resume of a student from Berkeley
We would  like very much to have him as a summer intern with my group",Summer internship
1028,"Most of you already know, but the move is taking place this Friday 11/16/01
Please be sure you are packed by 3:00 PM on Friday and  have everything labeled",Moving Friday 11/16/01
1029,"Hi Ted,  It's Patti
An all day meeting has been scheduled for Wednesday, May 31 -  the day you and Sally were scheduled for lunch",Can we reschedule lunch to another day?
1030,"Please plan to attend an STP meeting tomorrow morning at 10:30 am
Place TBD",STP meeting
1031,"At the request of Dovie Keprta in our eMarket Services Group, I am enclosing  a draft of our proposed form of Non-Disclosure Agreement for David Endicott's  review
I am also attaching a blacklined draft showing the changes from the  NDA you executed with Enron Broadband Services",NDA-Sabre Corporation
1032,I have had two conversations with Mr Dawson and others re a GISB for this  muni,Oklahoma Municipal Power
1033,"""It's a Girl"" performed by Weave Dance Company  Weave Dance Co will perform May 24-26 at 8:00 p",Enron In Action 05.21.01
1034,"HI:  Thank you for a productive meeting this morning!
Per our discussion, we will need Risk and Credit Aggregation to pull the same Post IDs in order to have counterparties $ exposure to reconcile
In addition, corporations and its divisions should be matched to arrive to the similar counterparty list, as well as the decision should be made on whether to include ENA Affiliates for this particular exercise",Financial Gas
1035,"eSource Presents Lexis-Nexis Training  Basic  Lexis-Nexis Basic is geared to the novice or prospective user
You will learn the basics of getting around Nexis",Lexis-Nexis Training: Houston & Worldwide / Dow Jones Training
1036,"Everyone,   You probably have already heard on the news that there is a new Computer Virus out on the internet that is causing Corporations to experience numerous problems
We have an automated process to update our workstations with the latest virus protection updates",Update to Virus Scanning Software
1037,"Hi everybody,   Well, somethings didn't turn out as quite as  planned
In case you didn't hear, our first offer on our house fell  through",Update on Kristi and Greg
1038,"I have an agenda item for ""Update on Financings, Liquidity and Credit Ratings""
Please advise if for any reason that is not appropriate, otherwise, it will stick",Sunday's MoD Meeeting
1039,"We have received the executed ISDA Master Agreement (Multicurrency-Cross  Border) effective as of 06/29/99
Copies will be distributed","Falcon Creek Resources, Inc."
1040,"Well sometime between 11 PM last night and this morning, my computer died
However, I will nonetheless get a draft of the letter out today for  discussion on tomorrow's call",Letter to Senators
1041,"Kal/Susan -  Attached is an updated version of the disclosure consent agreement for EOL information
Please take a look at the attached and let me know your thoughts",EOL Disclosure Consent
1042,"Thanks in advance for agreeing to speak at the Global Operations Controller  Forum
There will be approximately 30 Enron business controllers present at  the meeting",October 23 Speaking Engagement
1043,"Hi Heather,  Here's a form of LOI we can use
Nancy W",Rocky Mount
1044,"Attached is my summary of requests for rehearing that have been filed in the various Southeastern RTO proceedings
If you would like more information, let me know",Southeast RTOs:  requests for rehearing
1045,"Attached is a revised Credit Watch listing for the week of 10/08/01
Please note that Federal-Mogul Corp",Credit Watch List--Week of 10/8/01
1046,"Just a reminder not to use the form Master Netting Agreement that was attached to the e-mail notification sent yesterday
You will be receiving a new form later today",Master Netting Agreement
1047,"Ken,   Just a note to tell you that I hope you  and your family are weathering this storm
You are a superior executive, a  friend to many and a philanthropist of the first order",good wishes
1048,"Late on October 25th, we received information about a nonspecific threat to the Enron Center
We communicated with law enforcement officials who found the threat unsubstantiated and without merit",Increased Security at Enron Center
1049,"eSource Presents Lexis-Nexis Training  Basic  Lexis-Nexis Basic is geared to the novice or prospective user
You will learn the basics of getting around Nexis",Lexis-Nexis Training: Houston & Worldwide / Dow Jones Training
1050,"Hi Allyson,  What is your impression of why the NC attorney general's office has  intervened in the CPCN proceeding?
Is this typical?
Does the AG's office  (or any other intervenor) have any special rights to discover any of the  confidential information we file?
Thanks,

",CPCN proceeding - AG intervention
1051,"Louise -  I spoke with Dave last night and he would like to propose the following changes
Stephanie Sever		from $6,500	to $7,000	 Christopher Walker	from $2,000	to $4,000	(Jennifer Denny highly recommends, contributions not reflected in mid-year rating) Fraisy George		from $2,479	to $3,000	(used to be in call center, nature of job changed and has increased responsibility from mid-year) Adam Johnson 		from $2,000	to $6,000	(Jennifer Denny highly recommends, would take him over anyone else at his level, feels should be compensated for 							his contributions)  Please let me know your thoughts",Proposed Payment Changes from Dave Forster for EOL
1052,"Did you take the LSAT and kick its butt already?
I thought you were  scheduled to take that recently
You are probably wishing you have more  stuff to study on the weekends",Hi
1053,"As per your request, an environmental due diligence was completed of the  assets and outstanding issues of Northwest Natural Gas Company (NWNG), a  local distribution company  (LDC), with its corporate headquarters located in  Portand, Oregon
This  due diligence, which was conducted on August 7-9,  2001,  was performed to determine the environmental liabilities and exposures  which may be associated with  NWNG and identify and evaluate the  environmental risks associated with each issue",Due Diligence Northwest Natural Gas Company-Summary
1054,"Following our announcement of an additional of $1 billion credit line, Standard & Poor's (S&P) today downgraded Enron's long-term credit rating one notch from BBB+ to BBB and short-term rating from A2 to A3
We expected this, because it is not unusual to be downgraded after using assets to secure credit",Enron Update
1055,"Last month all of your donations helped Enron raise a grand total of $6 million for the United Way, including our corporate match
Once again Enron employees made a difference and contributed more than any other pacesetter company in Houston",Enron and United Way's Continued Partnership
1056,"Thank you for indicating your preferences for personal follow-up calls to The Center's funds solicitation letter
Unfortunately, Ben Love's health precludes him from making any follow-up calls on this campaign",The Center for Houston's Future Capital Campaign
1057,"This has been a tough couple of weeks
I hope that these daily communications on new developments are helping you understand what's happening with our company",Enron Update
1058,"Trailblazer	 Gathering information for HSR filing
HSR process expected to take 15 days",Corp Dev Weekly Report
1059,"Here's a rough cut
Let me know what you think",She sells fuel cells down by the seashore
1060,we can email this doc and the comparison (ie,con ed guaranty
1061,"Can you please set this new location up, Nipsco/NGPL, with curves the same as  the original point, NGPL/Nipsco
I believe they are as follows: gas daily  should be GDP-CHI",NGPL Nipsco
1062,"A backup seat and a backup computer have been assigned to you
Please read this communication in detail",Enron Center South (ECS) Move Back-up Plan
1063,"Bothers,     After seeing my first son pledge Phi Sig at Georgia Tech 6 years ago, then my second boy pledge UCLA baseball four years ago, it is with great pride I announce that young Joe Berry  just accepted a bid to become a member of Beta Theta Pi at Auburn University
He called me tonight with the news and it is just sinking in as I type this",[smu-betas] Third time's the charm they say
1064,"Per our meeting, attached are the current forms of MAC Clauses
I have added  at the end of the list, the Event of Default for change in ownership because  I know that one comes up frequently",MAC Clauses
1065,"Attached in very draft form is EPMI/EES's response against Dynegy's request that ComEd not allow Firm LD to be designated as a Network transmission resource
Please provide comments by COB Thurs 10/25",NEED COMMENTS-Dynegy v. ComEd response
1066,"Please refer to Enron Tag #23876
The path is   BHPLGS gen @ BHPLSYSTEM- BHPL (T) BHPL/STGL - BHPLGS - MEAN - LAPT(T)STEGW/DAVEJOHNSTON - MEAN - MIRANT- PPW(T)DAVEJOHNSTON/4C3- MIRANT- EPMI- APS(T)4C3/WW5 - EPMI- CRSPM1 - WALC(T)WW5/WW2- WALC(T)WW2/COOLADGE- CRSPM1 load @ COOLADGE",10 MW schedule Heavy Load for the June 2nd at Mead
1067,Melissa:  Brant Reves has just confirmed for me that financial power deals in  the name of Aquila will change to Utilicorp United Inc when the ISDA Master  is signed (any day now),"Aquila Risk Management Corporation (""Aquila"")"
1068,"FYI,  The next Outage Coordination Commercial Review meeting is today, 03/13/02
The purpose for the meeting is to discuss outages that have a flow impact for the month of April & May 2002",Outage Coordination Commercial Review Meeting (NNG)
1069,"Please join us this Wednesday night so we can spend time with Alejandra on her last night in Houston and wish her the best of luck on her move to El Paso, TX
When: Wednesday night, November 14, 2001 Time: Drop by when you can beginning around 5:30 Where: The Dog House Tavern (directions below)  Hope to see everyone there!!!
Address: 2517 Bagby  From downtown: Head Away from downtown on Smith Street Take a Right on W",Happy Hour for Alejandra
1070,"A new version of CQG has been deployed to all current CQG users
When you log out and log back in you may not initially see your saved layouts",You may lose your layouts for CQG....
1071,"eSource Presents Lexis-Nexis Training  Basic  Lexis-Nexis Basic is geared to the novice or prospective user
You will learn the basics of getting around Nexis",Lexis-Nexis Training: Houston & Worldwide / Dow Jones Training
1072,"hey sus- when you get a chance could you send me your address and your parents?
i know i have yours and lisa's somewhere, but i better start a new list
thanks!
!

",address
1073,"Mike,  When you evaluate your curves and scalars for the OG&E area, can you also make sure your Entergy long term curves and scalars are in good shape?
We will probably be using those for some load following possibilities and other long term deals such as heat rate options in the Entergy control area
I assume the scalars would not be much different for either area, but I wanted to make sure they were both updated",Curves and scalars
1074,"Thanks for you message
I am glad to know that you like what you see in the  office to date",Welcome to Chicago and ENA
1075,"Follow up to e-mail request for credit worksheet  for FPC on April 11th
Tammi needs to send a draft to the customer today",Florida Power Corp.
1076,"Following our announcement of an additional of $1 billion credit line, Standard & Poor's (S&P) today downgraded Enron's long-term credit rating one notch from BBB+ to BBB and short-term rating from A2 to A3
We expected this, because it is not unusual to be downgraded after using assets to secure credit",Enron Update
1077,"Today, we are forming Enron Global Services (EGS) in order to more closely align our asset-based businesses
This reorganization will allow EGS to focus our resources on opportunities that present the highest value to Enron",Organization Changes
1078,"I changed the demand charge for Equitrans k#270 on the Aug and Sep  worksheet
Would you let me know what the capacity deal tickets are and I  will change Sitara as well",Equitrans
1079,"The following terms will be recognized on the ICE System for trading of North American Natural Gas for the upcoming holiday season
!
!
Fri Dec21:	NEXT DAY = Dec22-26                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               !
Mon Dec24:	NEXT DAY = Dec25-26 (Canada only)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 !
Mon Dec24:	SAME DAY = Dec24-26 (Canada only)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 !
Wed Dec26:	NEXT DAY = Dec27 (normal)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         !
Thu Dec27:	NEXT DAY = Dec28 (normal)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         !
Fri Dec28:	NEXT DAY = Dec29-31 (normal; Fri afternoon trades Jan1-2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         !
Mon Dec31:	NEXT DAY = Jan1-2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 !
!
Please make use of the Bal Month & Custom Strips for any terms that do not conform to the above standards",Holiday Terms for NEXT DAY Strip (N.A. Natural Gas)
1080,"You know, you have to WRITE emails to GET emails",How to get emails....
1081,"Our natural gas business continues to benefit from effective account management and resource allocation focused on identifying and responding to the needs of our varied customers
In order to keep our organization optimally structured and to facilitate additional growth, we are making the following changes:  Producer/Wellhead Group  The current mid-market, origination and wellhead pricing activity currently within the Central and Eastern Gas Regions will be consolidated with the Derivatives group under Fred Lagrasta",Natural Gas Origination
1082,"Today we released additional information about our related party and off-balance sheet transactions
We have made this information available both on our website and in a Form 8-K filing with the Securities and Exchange Commission (SEC)",SEC Information/Earnings Restatement
1083,"Jim, I am looking for weather data by region for 98 and 99
I believe that  there was a lot of extreme weather this year and I am looking to support  that",Weather Impact on Power Prices
1084,"Welcome to Enron Center South
As you have probably already noticed, things look a little different here",Enron Center South Technology Watch
1085,"Our natural gas business continues to benefit from effective account management and resource allocation focused on identifying and responding to the needs of our varied customers
In order to keep our organization optimally structured and to facilitate additional growth, we are making the following changes:  Producer/Wellhead Group  The current mid-market, origination and wellhead pricing activity currently within the Central and Eastern Gas Regions will be consolidated with the Derivatives group under Fred Lagrasta",Natural Gas Origination
1086,"MARK YOUR LUNCH CALENDARS NOW !
You are invited to attend the EWS Brown Bag Lunch Series  Featuring:  THE MAP GUYS Keith Fraley and Peter Hoyt  Topic:  Visualizing your Data and Marketplace  Enhance your market analysis and decision-making capabilities with our commodity-specific geographic information and customized applications
Thursday, October 18, 2001 11:30 a",EWS Brown Bag
1087,"Team,    I have created a group calendar for us (attached below)
If you know of any additional time that you will be out of the office 1/2 day or more in July or you have anything else you would like added, please advise by  close of business today, so that I can print the calendars and distribute",July Group Calendar
1088,"Jason, 	138 MMBtu was cut after the final GISB cycle on ANR Contract 104684
The cut was the result of Northern Border confirming the incorrect number during the timely, evening and intraday 1 cycles",Gas Day of April 19th
1089,"Hello Paul,   Orbitz would like to assist with the preparation for your journey to San Antonio on December 21
Important information for your day of travel  * You have e-tickets for this trip",Preparing for your departure
1090,"Once again, Enron employees showed their generosity
Thanks to everyone who participated in the March of Dimes Raffle, we raised over $1,750",March of Dimes Raffle Update
1091,"Your mailbox has exceeded one or more size limits set by your administrator
Your mailbox size is 112312 KB",Your mailbox is over its size limit
1092,"In an effort to pull the pieces together, a meeting has been scheduled to  discuss the draft energy and capacity contract (formerly the PPA)
It is  scheduled for Thursday, August 24th, at 900am",Edgecombe Energy and Capacity Contract
1093,"Stan:  I spoke to Mike Miller regarding the opportunity in Enron Wind
He is interested in the position and would be willing to meet with you as early as next Monday",Enron Wind
